Designator,Mid X,Mid Y,Rotation,Layer
U1,147.32,-73.03,180,top
U10,171.839632,-102.907258,78.75,top
U11,170.416988,-107.597085,67.5,top
U12,168.10674,-111.919255,56.25,top
U13,164.997669,-115.707669,45,top
U14,161.209255,-118.81674,33.75,top
U15,156.887085,-121.126988,22.5,top
U16,152.197258,-122.549632,11.25,top
U17,147.32,-123.03,0,top
U18,142.442741,-122.549632,348.75,top
U19,137.752914,-121.126988,337.5,top
U2,152.197258,-73.510367,168.75,top
U20,133.430744,-118.81674,326.25,top
U21,129.64233,-115.707669,315,top
U22,126.533259,-111.919255,303.75,top
U23,124.223011,-107.597085,292.5,top
U24,122.800367,-102.907258,281.25,top
U25,122.32,-98.03,270,top
U26,122.800367,-93.152741,258.75,top
U27,124.223011,-88.462914,247.5,top
U28,126.533259,-84.140744,236.25,top
U29,129.64233,-80.35233,225,top
U3,156.887085,-74.933011,157.5,top
U30,133.430744,-77.243259,213.75,top
U31,137.752914,-74.933011,202.5,top
U32,142.442741,-73.510367,191.25,top
U4,161.209255,-77.243259,146.25,top
U5,164.997669,-80.35233,135,top
U6,168.10674,-84.140744,123.75,top
U7,170.416988,-88.462914,112.5,top
U8,171.839632,-93.152741,101.25,top
U9,172.32,-98.03,90,top